"","Day","Trajectory","Flow","Treatment","Tank..","Coral","F0","Fm","Yield"
"198",6,"Protective","High","Protective High","2","F..3",0.1402,0.36402,0.6138
"199",6,"Protective","Low","Protective Low","1","F..1",0.15756,0.38234,0.5852
"200",6,"Protective","Low","Protective Low","1","F..2",0.1706,0.4447,0.6152
"201",6,"Protective","Low","Protective Low","1","F..3",0.15342,0.3752,0.5904
"202",6,"Protective","Low","Protective Low","2","F..1",0.14716,0.34834,0.5746
"203",6,"Protective","Low","Protective Low","2","F..2",0.17932,0.37274,0.5184
"204",6,"Protective","Low","Protective Low","2","F..3",0.15714,0.3755,0.5814
"205",6,"Single","High","Single High","1","F..1",0.15146,0.32706,0.5362
"206",6,"Single","High","Single High","1","F..2",0.15306,0.35286,0.5582
"207",6,"Single","High","Single High","1","F..3",0.1602,0.38698,0.5842
"208",6,"Single","High","Single High","2","F..1",0.16636,0.36666,0.5438
"209",6,"Single","High","Single High","2","F..2",0.18932,0.37774,0.4928
"210",6,"Single","High","Single High","2","F..3",0.16312,0.38804,0.5762
"211",6,"Single","Low","Single Low","1","F..1",0.2008,0.38972,0.4822
"212",6,"Single","Low","Single Low","1","F..2",0.16676,0.35786,0.5324
"213",6,"Single","Low","Single Low","1","F..3",0.16618,0.35736,0.5314
"214",6,"Single","Low","Single Low","2","F..1",0.14824,0.38088,0.6112
"215",6,"Single","Low","Single Low","2","F..2",0.1546,0.33892,0.5406
"216",6,"Single","Low","Single Low","2","F..3",0.14618,0.37304,0.607
"217",7,"Control","High","Control High","1","F..1",0.1499,0.4093,0.6334
"218",7,"Control","High","Control High","1","F..2",0.13932,0.35224,0.6034
"219",7,"Control","High","Control High","1","F..3",0.1541,0.44078,0.6506
"220",7,"Control","High","Control High","2","F..1",0.16372,0.35312,0.5364
"221",7,"Control","High","Control High","2","F..2",0.15892,0.43196,0.631
"222",7,"Control","High","Control High","2","F..3",0.1512,0.41068,0.6316
"223",7,"Control","Low","Control Low","1","F..1",0.15824,0.36638,0.5672
"224",7,"Control","Low","Control Low","1","F..2",0.16462,0.4346,0.6218
"225",7,"Control","Low","Control Low","1","F..3",0.1347,0.3805,0.6456
"226",7,"Control","Low","Control Low","2","F..1",0.14108,0.35658,0.6042
"227",7,"Control","Low","Control Low","2","F..2",0.14764,0.39362,0.6232
"228",7,"Control","Low","Control Low","2","F..3",0.1539,0.38176,0.5974
"229",7,"Protective","High","Protective High","1","F..1",0.1497,0.39794,0.6358
"230",7,"Protective","High","Protective High","1","F..2",0.13844,0.3601,0.5986
"231",7,"Protective","High","Protective High","1","F..3",0.2353,0.50784,0.5635
"232",7,"Protective","High","Protective High","2","F..1",0.17814,0.3496,0.4906
"233",7,"Protective","High","Protective High","2","F..2",0.16754,0.37796,0.5536
"234",7,"Protective","High","Protective High","2","F..3",0.13714,0.36598,0.6246
"235",7,"Protective","Low","Protective Low","1","F..1",0.15608,0.40218,0.6112
"236",7,"Protective","Low","Protective Low","1","F..2",0.16774,0.45324,0.6304
"237",7,"Protective","Low","Protective Low","1","F..3",0.14696,0.36322,0.5942
"238",7,"Protective","Low","Protective Low","2","F..1",0.14108,0.34206,0.5854
"239",7,"Protective","Low","Protective Low","2","F..2",0.18538,0.38938,0.5228
"240",7,"Protective","Low","Protective Low","2","F..3",0.17304,0.43136,0.5982
"241",7,"Single","High","Single High","1","F..1",0.14538,0.31146,0.5294
"242",7,"Single","High","Single High","1","F..2",0.15842,0.33334,0.517
"243",7,"Single","High","Single High","1","F..3",0.14992,0.36698,0.591
"244",7,"Single","High","Single High","2","F..1",0.15306,0.344,0.5544
"245",7,"Single","High","Single High","2","F..2",0.18784,0.354,0.4672
"246",7,"Single","High","Single High","2","F..3",0.17168,0.37814,0.5448
"247",7,"Single","Low","Single Low","1","F..1",0.1952,0.3997,0.5082
"248",7,"Single","Low","Single Low","1","F..2",0.14362,0.32224,0.5508
"249",7,"Single","Low","Single Low","1","F..3",0.18696,0.35912,0.4742
"250",7,"Single","Low","Single Low","2","F..1",0.14918,0.37746,0.604
"251",7,"Single","Low","Single Low","2","F..2",0.16158,0.39972,0.5936
"252",7,"Single","Low","Single Low","2","F..3",0.17432,0.37154,0.5296
"253",8,"Control","High","Control High","1","F..1",0.14568,0.39834,0.6342
"254",8,"Control","High","Control High","1","F..2",0.14676,0.36364,0.594
"255",8,"Control","High","Control High","1","F..3",0.1551,0.4249,0.6344
"256",8,"Control","High","Control High","2","F..1",0.1488,0.31306,0.5258
"257",8,"Control","High","Control High","2","F..2",0.1454,0.4059,0.6406
"258",8,"Control","High","Control High","2","F..3",0.1494,0.43176,0.653
"259",8,"Control","Low","Control Low","1","F..1",0.16498,0.36638,0.5454
"260",8,"Control","Low","Control Low","1","F..2",0.16342,0.44668,0.634
"261",8,"Control","Low","Control Low","1","F..3",0.14432,0.39952,0.6382
"262",8,"Control","Low","Control Low","2","F..1",0.14382,0.37636,0.616
"263",8,"Control","Low","Control Low","2","F..2",0.15224,0.3954,0.6144
"264",8,"Control","Low","Control Low","2","F..3",0.14882,0.37244,0.5996
"265",8,"Protective","High","Protective High","1","F..1",0.14188,0.39548,0.6404
"266",8,"Protective","High","Protective High","1","F..2",0.13068,0.34864,0.6232
"267",8,"Protective","High","Protective High","1","F..3",0.14184,0.38166,0.6276
"268",8,"Protective","High","Protective High","2","F..1",0.1616,0.3702,0.5602
"269",8,"Protective","High","Protective High","2","F..2",0.15138,0.3117,0.5182
"270",8,"Protective","High","Protective High","2","F..3",0.14816,0.38432,0.613
"271",8,"Protective","Low","Protective Low","1","F..1",0.1601,0.41118,0.6088
"272",8,"Protective","Low","Protective Low","1","F..2",0.1499,0.44204,0.6598
"273",8,"Protective","Low","Protective Low","1","F..3",0.13764,0.36156,0.619
"274",8,"Protective","Low","Protective Low","2","F..1",0.14002,0.35098,0.598
"275",8,"Protective","Low","Protective Low","2","F..2",0.17904,0.37556,0.5224
"276",8,"Protective","Low","Protective Low","2","F..3",0.18726,0.44098,0.5736
"277",8,"Single","High","Single High","1","F..1",0.14154,0.31784,0.5538
"278",8,"Single","High","Single High","1","F..2",0.14812,0.36812,0.592
"279",8,"Single","High","Single High","1","F..3",0.16018,0.38352,0.5812
"280",8,"Single","High","Single High","2","F..1",0.16608,0.36018,0.536
"281",8,"Single","High","Single High","2","F..2",0.19568,0.3956,0.5032
"282",8,"Single","High","Single High","2","F..3",0.1605,0.38344,0.579
"283",8,"Single","Low","Single Low","1","F..1",0.15694,0.38932,0.5926
"284",8,"Single","Low","Single Low","1","F..2",0.15364,0.35834,0.5696
"285",8,"Single","Low","Single Low","1","F..3",0.18744,0.39382,0.516
"286",8,"Single","Low","Single Low","2","F..1",0.16228,0.41276,0.6058
"287",8,"Single","Low","Single Low","2","F..2",0.17016,0.38588,0.5584
"288",8,"Single","Low","Single Low","2","F..3",0.16784,0.40988,0.5884
"289",9,"Control","High","Control High","1","F..1",0.15424,0.43402,0.6444
"290",9,"Control","High","Control High","1","F..2",0.14078,0.33942,0.5844
"291",9,"Control","High","Control High","1","F..3",0.15784,0.41872,0.6228
"292",9,"Control","High","Control High","2","F..1",0.15726,0.35224,0.5494
"293",9,"Control","High","Control High","2","F..2",0.1606,0.41146,0.6078
"294",9,"Control","High","Control High","2","F..3",0.15448,0.40156,0.6144
"295",9,"Control","Low","Control Low","1","F..1",0.1543,0.34068,0.5442
"296",9,"Control","Low","Control Low","1","F..2",0.16754,0.44158,0.6202
"297",9,"Control","Low","Control Low","1","F..3",0.14312,0.3905,0.633
"298",9,"Control","Low","Control Low","2","F..1",0.15212,0.36254,0.58
"299",9,"Control","Low","Control Low","2","F..2",0.1549,0.3803,0.5918
"300",9,"Control","Low","Control Low","2","F..3",0.14784,0.35166,0.5782
"301",9,"Protective","High","Protective High","1","F..1",0.1453,0.38794,0.6254
"302",9,"Protective","High","Protective High","1","F..2",0.1345,0.33648,0.5986
"303",9,"Protective","High","Protective High","1","F..3",0.13292,0.3754,0.6454
"304",9,"Protective","High","Protective High","2","F..1",0.17558,0.3599,0.5104
"305",9,"Protective","High","Protective High","2","F..2",0.16902,0.376,0.5484
"306",9,"Protective","High","Protective High","2","F..3",0.12902,0.32922,0.6072
"307",9,"Protective","Low","Protective Low","1","F..1",0.15714,0.39568,0.6028
