"","Timepoint","Species","Trajectory","Tank","Flow","Coral","HM","Square","Count","Dilution"
"360","TP2","AA","Single","T2","High","#3","6",5,11,10
"361","TP1","AA","Single","T1","High","#2","2",1,21,10
"362","TP1","AA","Single","T1","High","#2","2",2,16,10
"363","TP1","AA","Single","T1","High","#2","2",3,10,10
"364","TP1","AA","Single","T1","High","#2","2",4,16,10
"365","TP1","AA","Single","T1","High","#2","2",5,8,10
"366","TP1","AA","Single","T1","High","#2","3",1,8,10
"367","TP1","AA","Single","T1","High","#2","3",2,6,10
"368","TP1","AA","Single","T1","High","#2","3",3,10,10
"369","TP1","AA","Single","T1","High","#2","3",4,10,10
"370","TP1","AA","Single","T1","High","#2","3",5,9,10
"371","TP1","AA","Single","T1","High","#2","4",1,12,10
"372","TP1","AA","Single","T1","High","#2","4",2,12,10
"373","TP1","AA","Single","T1","High","#2","4",3,14,10
"374","TP1","AA","Single","T1","High","#2","4",4,14,10
"375","TP1","AA","Single","T1","High","#2","4",5,13,10
"376","TP1","AA","Single","T1","High","#2","5",1,15,10
"377","TP1","AA","Single","T1","High","#2","5",2,19,10
"378","TP1","AA","Single","T1","High","#2","5",3,9,10
"379","TP1","AA","Single","T1","High","#2","5",4,8,10
"380","TP1","AA","Single","T1","High","#2","5",5,15,10
"381","TP1","AA","Single","T1","High","#2","6",1,10,10
"382","TP1","AA","Single","T1","High","#2","6",2,13,10
"383","TP1","AA","Single","T1","High","#2","6",3,13,10
"384","TP1","AA","Single","T1","High","#2","6",4,11,10
"385","TP1","AA","Single","T1","High","#2","6",5,11,10
"386","TP1","AA","Single","T1","Low","#1","1",1,14,10
"387","TP1","AA","Single","T1","Low","#1","1",2,13,10
"388","TP1","AA","Single","T1","Low","#1","1",3,13,10
"389","TP1","AA","Single","T1","Low","#1","1",4,13,10
"390","TP1","AA","Single","T1","Low","#1","1",5,20,10
"391","TP1","AA","Single","T1","Low","#1","2",1,13,10
"392","TP1","AA","Single","T1","Low","#1","2",2,13,10
"393","TP1","AA","Single","T1","Low","#1","2",3,14,10
"394","TP1","AA","Single","T1","Low","#1","2",4,9,10
"395","TP1","AA","Single","T1","Low","#1","2",5,15,10
"396","TP1","AA","Single","T1","Low","#1","3",1,23,10
"397","TP1","AA","Single","T1","Low","#1","3",2,18,10
"398","TP1","AA","Single","T1","Low","#1","3",3,14,10
"399","TP1","AA","Single","T1","Low","#1","3",4,16,10
"400","TP1","AA","Single","T1","Low","#1","3",5,17,10
"401","TP1","AA","Single","T1","Low","#1","4",1,19,10
"402","TP1","AA","Single","T1","Low","#1","4",2,20,10
"403","TP1","AA","Single","T1","Low","#1","4",3,13,10
"404","TP1","AA","Single","T1","Low","#1","4",4,14,10
"405","TP1","AA","Single","T1","Low","#1","4",5,11,10
